url,mmyy,stamp
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-april-2007.html,APRIL_2007,2007-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-may-2007.html,MAY_2007,2007-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-june-2007.html,JUNE_2007,2007-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-july-2007.html,JULY_2007,2007-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-august-2007.html,AUGUST_2007,2007-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-september-2007.html,SEPTEMBER_2007,2007-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-october-2007.html,OCTOBER_2007,2007-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-november-2007.html,NOVEMBER_2007,2007-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-december-2007.html,DECEMBER_2007,2007-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-january-2008.html,JANUARY_2008,2008-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-february-2008.html,FEBRUARY_2008,2008-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-march-2008.html,MARCH_2008,2008-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-april-2008.html,APRIL_2008,2008-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-may-2008.html,MAY_2008,2008-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-june-2008.html,JUNE_2008,2008-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-july-2008.html,JULY_2008,2008-07-01
