url,year,month,stamp
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-august-2011.html,2011,AUGUST,2011-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-september-2011.html,2011,SEPTEMBER,2011-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-october-2011.html,2011,OCTOBER,2011-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-november-2011.html,2011,NOVEMBER,2011-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-december-2011.html,2011,DECEMBER,2011-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-january-2012.html,2012,JANUARY,2012-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-february-2012.html,2012,FEBRUARY,2012-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-march-2012.html,2012,MARCH,2012-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-april-2012.html,2012,APRIL,2012-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-may-2012.html,2012,MAY,2012-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-june-2012.html,2012,JUNE,2012-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-july-2012.html,2012,JULY,2012-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-august-2012.html,2012,AUGUST,2012-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-september-2012.html,2012,SEPTEMBER,2012-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-october-2012.html,2012,OCTOBER,2012-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-november-2012.html,2012,NOVEMBER,2012-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-december-2012.html,2012,DECEMBER,2012-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-january-2013.html,2013,JANUARY,2013-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-february-2013.html,2013,FEBRUARY,2013-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-march-2013.html,2013,MARCH,2013-03-01
